,Key,Values
354,C0042109,354
355,C0235129,355
356,C0235146,356
357,C0234518,357
358,C0332575,358
359,C0241157,359
360,C0231187,360
361,C0744492,361
362,C0038363,362
363,C0085642,363
364,C1142277,364
365,C0029882,365
366,C0151786,366
367,C0018520,367
368,C0020578,368
369,C0151706,369
370,C1511606,370
371,C0023380,371
372,C0029456,372
373,C0242429,373
374,C0034063,374
375,C0239324,375
376,C0151435,376
377,C0240100,377
378,C0578859,378
379,C0020443,379
380,C0020598,380
381,C0424109,381
382,C0013595,382
383,C0003537,383
384,C0020619,384
385,C0014724,385
386,C0034150,386
387,C0003811,387
388,C0232118,388
389,C0424092,389
390,C0151825,390
391,C0152032,391
392,C0242350,392
393,C0011175,393
394,C0038454,394
395,C0744740,395
396,C0240233,396
397,C0033377,397
398,C0024523,398
399,C0728899,399
400,C0520887,400
401,C0241235,401
402,C0027726,402
403,C0581911,403
404,C0541911,404
405,C0151859,405
406,C0018800,406
407,C0694547,407
408,C0553668,408
409,C0151818,409
410,C0554980,410
411,C0392162,411
412,C0002170,412
413,C0478124,413
414,C0740394,414
415,C0232766,415
416,C0232995,416
417,C0030312,417
418,C0151908,418
419,C0857087,419
420,C0013990,420
421,C0917799,421
422,C0018524,422
423,C0232257,423
424,C0152025,424
425,C0234238,425
426,C0036454,426
427,C0541798,427
428,C0151827,428
429,C0558089,429
430,C0312422,430
431,C0030554,431
432,C1384489,432
433,C0744727,433
434,C0007859,434
435,C0035455,435
436,C0022073,436
437,C0027066,437
438,C0455769,438
439,C0027498,439
440,C0424230,440
441,C0032617,441
442,C0020672,442
443,C0401151,443
444,C0574960,444
445,C0271202,445
446,C0010828,446
447,C0011633,447
448,C0746619,448
449,C0239301,449
450,C0019087,450
451,C0271276,451
452,C0020532,452
453,C0020555,453
454,C0014583,454
455,C0025222,455
456,C0009421,456
457,C0202113,457
458,C0748706,458
459,C0007758,459
460,C0023212,460
461,C0338656,461
462,C0028738,462
463,C0242143,463
464,C0033860,464
465,C0026827,465
466,C0232726,466
467,C0031154,467
468,C0239133,468
469,C0029089,469
470,C0456909,470
471,C0014306,471
472,C0042514,472
473,C0235198,473
474,C0034880,474
